,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
0,acer Aspire Lite,"54,999",N/A,ACER,16GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
1,Dell 15,"60,526",Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,(23% off),15.6
2,"EBook 11.6"" HD Laptop","10,990",N/A,EBOOK,4GB,4.0,4GB,Windows 11,Black,(56% off),11.6
3,HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge,"27,990",Intel Celeron,HP,4GB,3.9,4GB,N/A,N/A,(13% off),35.6
4,JioBook 11 with Lifetime Office,"10,990",Mediatek,JIOBOOK,4GB,2.9,4GB,N/A,Blue,(56% off),N/A
5,HP 15,"41,990",Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,(20% off),15.6
6,HP 15,N/A,AMD Ryzen 3 7320U,HP,8GB,4.0,512GB,Windows 11,Silver,N/A,15.6
7,"BrowseBook 14.1"" FHD IPS Laptop","12,990",N/A,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,(57% off),14.1
8,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),"17,990",Intel Celeron,THOMSON,8GB,4.5,256GB,Windows 11,Silver,(36% off),N/A
9,Lenovo Smartchoice Ideapad Slim 3,"75,990",Intel Core i7,LENOVO,16GB,4.2,512GB,Windows 11,Grey,(15% off),15.3
10,Dell 15,"39,990",N/A,DELL,8GB,4.0,512GB,Windows 11,Black,(16% off),15.6
11,Lenovo IdeaPad Slim 5,"92,990",AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
12,Ienovo ThinkPad L14,"25,995",N/A,IENOVO,8GB,N/A,256GB,Windows 10,N/A,(63% off),N/A
13,HP 15 Laptop,"49,990",AMD Ryzen 7 5825U,HP,16GB,3.9,512GB,Windows 11,Silver,(17% off),11
14,ASUS Vivobook Go 14,"34,790",AMD Ryzen 3 7320U,ASUS,8GB,4.1,512GB,Windows 11,Black,(21% off),14
15,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display",N/A,Intel Celeron,HP,N/A,3.4,512GB,Windows 11,Black,N/A,14.0
16,ASUS TUF A15 (2025),"66,990",AMD Ryzen 7 7445HS,ASUS,16GB,4.2,512GB,Windows 11,Graphite,(20% off),15.6
17,HP 15 Consumer Series Laptop,"41,800",Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,(22% off),15.6
18,"Lenovo V14 Intel Core i5 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey/1.43 kg)","53,790",Intel Core i5,LENOVO,16GB,3.8,512GB,Windows 11,Grey,(40% off),14
19,ASUS Vivobook 15,"36,990",Intel Core i3-1315U,ASUS,8GB,4.2,512GB,Windows 11,Silver,(27% off),15.6
20,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"77,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(9% off),38.8
21,MSI Katana A17 AI,"1,15,990",N/A,MSI,N/A,4.5,1TB,Windows 11,Black,(11% off),44
22,Dell 15,"60,526",Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,(23% off),15.6
23,acer Aspire Lite,"54,999",N/A,ACER,16GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
24,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",Intel Celeron,THOMSON,4GB,2.7,128GB,N/A,Silver,(48% off),N/A
25,"DELL 14 (2026) Intel Core 3 14th Gen 100U - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021","44,790",N/A,DELL,16GB,5.0,512GB,Windows 11,Blue,(32% off),14.0
26,ASUS Gaming V16 (2025),"99,990",N/A,ASUS,16GB,5.0,512GB,Windows 11,Black,(28% off),16
27,Dell 15,"42,990",Intel Core i3,DELL,16GB,3.9,512GB,Windows 11,Grey,(21% off),15.6
28,HP 15,"69,990",N/A,HP,16GB,4.0,1TB,Windows 11,Silver,(11% off),15.6
29,Thomson NEO 14.1 Inch IN-P14C Intel Dual Core 4020 & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/White),"14,990",N/A,THOMSON,8GB,5.0,256GB,N/A,White,(46% off),N/A
30,Dell 15,"39,990",N/A,DELL,8GB,4.0,512GB,Windows 11,Black,(16% off),15.6
31,HP 15,"67,990",Intel Core i7-1355U,HP,16GB,4.0,512GB,Windows 11,Silver,(16% off),39.6
32,Lenovo IdeaPad Slim 5,"92,990",AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
33,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"77,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(9% off),38.8
34,HP Pavilion x360,"77,490",Intel Core i5-1335U,HP,16GB,3.9,1TB,Windows 11,Silver,(22% off),14
35,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),"14,990",Intel Celeron,THOMSON,8GB,3.0,256GB,N/A,Silver,(46% off),N/A
36,Lenovo IdeaPad Slim 3,"51,375",Intel Core i5-12450H,LENOVO,16GB,4.2,512GB,Windows 11,Grey,(28% off),15.6
37,ASUS Vivobook 15,"48,990",AMD Ryzen 7 5825U,ASUS,16GB,4.3,512GB,Windows 11,Blue,(16% off),15.6
38,HP Victus,"62,990",AMD Ryzen 7 7445HS,HP,16GB,4.2,512GB,Windows 11,Silver,(15% off),15.6
39,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,"2,43,990",Qualcomm Snapdragon,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,(2% off),N/A
40,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg",N/A,Intel Core i3,LENOVO,16GB,4.0,512GB,Windows 11,Grey,N/A,15.6
41,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,"18,990",Intel Pentium,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,(53% off),N/A
42,Lenovo V15 G4 AMD Ryzen 5 7520U DOS 15.6 inch FHD Thin & Lite Laptop,"42,799",AMD Ryzen 5 7520U DOS 15,LENOVO,16GB,3.8,512GB,N/A,Grey,(57% off),N/A
43,ASUS Vivobook 14,"59,990",AMD Ryzen AI 5 330,ASUS,16GB,3.3,512GB,Windows 11,Blue,(27% off),14
44,Dell 15,"60,526",Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,(23% off),15.6
45,acer Aspire Lite,"54,999",N/A,ACER,16GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
46,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,"2,43,990",Qualcomm Snapdragon,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,(2% off),N/A
47,HP 15,"54,990",Intel Core i5-1335U,HP,16GB,3.9,512GB,Windows 11,Silver,(16% off),15.6
48,Lenovo IdeaPad Slim 3,N/A,Intel Core i3,LENOVO,8GB,3.9,512GB,Windows 11,Grey,N/A,15.6
49,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,"34,999",AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,LENOVO,8GB,4.0,512GB,Windows 11,Silver,(8% off),15.6
50,Lenovo 14 (2025),"53,560",Intel Core i5,LENOVO,N/A,N/A,512GB,Windows 11,Grey,(46% off),14.0
51,ASUS Vivobook S16,"67,990",N/A,ASUS,16GB,4.3,512GB,Windows 11,Metallic,(1% off),16
52,STRIFF Laptop Tabletop Stand,199,N/A,STRIFF,N/A,4.2,N/A,N/A,Black,(87% off),N/A
53,"Samsung Galaxy Book 4 15.6"" Full HD","54,800",Intel Core i5,SAMSUNG,16GB,4.9,512GB,Windows 11,Silver,(30% off),15.6
54,Lenovo IdeaPad Slim 5,"92,990",AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
55,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"77,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(9% off),38.8
56,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,"18,990",Intel Pentium,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,(53% off),N/A
57,Dell 15,"44,326",N/A,DELL,16GB,3.9,512GB,Windows 11,Black,(16% off),15.6
58,HP Omen,"1,64,490",Intel Core i9-14900HX,HP,24GB,3.6,1TB,Windows 11,Black,(14% off),16
59,HP 14,"84,790",N/A,HP,24GB,3.0,1TB,Windows 11,Silver,(4% off),14
60,HP Victus,"80,490",Intel Core i5-14450HX,HP,24GB,3.9,512GB,Windows 11,Silver,(20% off),15.6
61,HP Smartchoice Victus,"1,05,990",Intel Core i7-13620H,HP,24GB,4.0,1TB,Windows 11,Silver,(15% off),15.6
